"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"CH","2024-08-22","91.6","-2.88","5.65","Judge, Aaron",592450,668909,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (48) on a fly ball to right field.","R","R","R","NYY","CLE","X",,"fly_ball",2,1,2024,"-1.56","0.86","0.27","2.53",,,,1,4,"Bot",231.43,97.28,,,666310,,,11.56222110292467,-132.96071803002764,-3.953893950677538,-20.854986276479504,26.286425064627657,-21.30406842943761,"3.98","1.8",360,"104.6",32,"93.8",2162,"7.5",745705,668909,666310,647304,665926,608070,677587,680757,671289,686823,"52.97",0.869,1.732,"2",1,0,3,6,28,4,"Changeup",0,0,0,0,0,1,1,0,"Strategic","Strategic",243,"0.138","0.971","79.28604","7.95147"
"CU","2024-08-21","77","0.43","6.05","Judge, Aaron",592450,676282,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (46) on a fly ball to right center field.    Juan Soto scores.","R","R","L","NYY","CLE","X",,"fly_ball",2,2,2024,"-0.74","-1.6","-0.17","2.8",,,665742,1,3,"Bot",174.3,54.15,,,595978,,,0.06686508927809295,-112.03106305326101,3.1455725041647042,-6.1546025726602185,22.98110051188163,-46.3742626104593,"3.98","1.8",378,"103.9",36,"77.7",2695,"7.1",745704,676282,595978,681807,665926,608070,671289,680757,657041,678877,"53.38",0.589,1.127,"2",1,0,3,6,21,5,"Curveball",2,0,2,0,0,4,4,0,"Strategic","Standard",342,"0.121","1.718","77.52132","7.78323"
"FF","2024-08-21","93.9","-0.45","5.72","Judge, Aaron",592450,669212,"home_run","hit_into_play",,,,,9,"Aaron Judge homers (47) on a fly ball to right field.","R","R","R","NYY","CLE","X",,"fly_ball",3,2,2024,"-0.96","1.33","0.36","2.44",,,,1,7,"Bot",205.66,78.76,,,595978,,,4.243325372585289,-136.49703814168961,-5.687882184179581,-12.943385807326099,32.84726879149105,-14.494781360082072,"3.98","1.8",356,"102.5",33,"94",2249,"6.6",745704,669212,595978,681807,665926,671289,677587,686823,657041,678877,"53.86",0.623,1.247,"2",1,0,3,6,53,7,"4-Seam Fastball",7,0,7,0,0,8,8,0,"Infield shade","Standard",221,"0.002","0.952","75.92707","7.87578"
"SI","2024-08-20","93.5","2.13","5.64","Judge, Aaron",592450,571510,"home_run","hit_into_play",,,,,4,"Aaron Judge homers (45) on a fly ball to center field.","R","R","L","NYY","CLE","X",,"fly_ball",3,1,2024,"1.31","0.71","-0.68","2.56",,,,1,1,"Bot",164.27,54.06,,,666310,,,-10.10709007266248,-135.79671896510757,-3.7562762757746238,18.377917826792462,28.896405806244136,-22.697720797266395,"4.01","1.84",376,"102.1",36,"93.4",2358,"6.3",745707,571510,666310,647304,665926,608070,677587,680757,682177,678877,"54.2",0.426,0.807,"2",1,0,3,6,7,5,"Sinker",1,0,1,0,0,2,2,0,"Infield shade","Standard",134,"0.094","0.894","77.70645","7.75773"
"SI","2024-08-16","91.4","2.8","5.88","Judge, Aaron",592450,676428,"home_run","hit_into_play",,,,,4,"Aaron Judge homers (44) on a fly ball to center field.","R","R","L","DET","NYY","X",,"fly_ball",2,2,2024,"1.23","0.34","-0.55","2.7",,,,1,8,"Top",118.18,24.82,,,668670,,,-10.987363726535918,-132.64168487968,-2.8332053877614816,16.831509342364804,27.593724192370313,-27.734951242584522,"4.03","1.86",431,"110",29,"90.7",2172,"5.9",746438,676428,668670,676632,656716,690291,700242,669234,678009,663837,"54.57",0.994,2,"2",1,0,3,6,58,6,"Sinker",0,2,2,0,3,0,3,0,"Infield shade","Standard",122,"-0.069","1.02","76.44252","7.59446"
"SI","2024-08-14","94.2","-2.86","5.27","Judge, Aaron",592450,641771,"home_run","hit_into_play",,,,,11,"Aaron Judge homers (43) on a fly ball to left field.   Alex Verdugo scores.    Juan Soto scores.","R","R","R","CWS","NYY","X",,"fly_ball",3,0,2024,"-1.33","0.19","-0.97","3.21",,657077,665742,1,8,"Top",36.47,82.96,,,686676,,,7.834511629619591,-136.97909665740025,-0.10136558655138506,-18.521735688321634,29.346605585741656,-29.943530576027108,"4.03","1.86",361,"110.1",23,"94.1",2219,"6.2",746759,641771,686676,657757,681460,678246,670032,643217,673357,666150,"54.3",0.991,1.936,"2",1,0,3,6,67,4,"Sinker",2,6,6,2,9,2,9,2,"Standard","Standard",242,"-0.023","1.956",,
"FF","2024-08-11","91.3","1.83","6.64","Judge, Aaron",592450,605177,"home_run","hit_into_play",,,,,6,"Aaron Judge homers (42) on a fly ball to right center field.","R","R","L","NYY","TEX","X",,"fly_ball",2,0,2024,"0.55","1.33","0.48","3.08",,,,0,7,"Bot",173.77,55.93,,,608348,,,-4.600133091414487,-132.66438860072952,-5.860012690247403,7.4853996555164,31.831299893358224,-15.471158565322407,"4.04","1.88",374,"108.4",37,"91.1",2222,"6.5",745711,605177,608348,663993,543760,673962,608369,694671,665750,666969,"54",0.809,1.647,"2",1,0,3,6,61,3,"4-Seam Fastball",7,3,7,3,3,8,8,3,"Standard","Standard",145,"0.014","0.904","81.11547","8.12494"
"SI","2024-08-03","94.2","-1.81","5.76","Judge, Aaron",592450,621244,"home_run","hit_into_play",,,,,11,"Aaron Judge homers (41) on a fly ball to center field.   Juan Soto scores.","R","R","R","NYY","TOR","X",,"fly_ball",0,1,2024,"-1.13","0.89","-0.9","3.3",,,665742,1,1,"Bot",82.21,31.97,,,672386,,,4.88616846880501,-137.1652216540627,-2.699973752236202,-15.312459712305643,29.04545585895008,-20.50870991815021,"4.04","1.85",426,"102.5",31,"95",2083,"6.6",745714,621244,672386,665489,687462,676391,677870,676914,694388,672642,"53.88",0.723,1.411,"2",1,0,3,6,7,2,"Sinker",0,1,0,1,1,2,2,1,"Infield shade","Standard",229,"0.185","1.74","73.13608","7.27141"
"FF","2024-08-02","95.3","-2.77","5.76","Judge, Aaron",592450,592332,"home_run","hit_into_play",,,,,8,"Aaron Judge homers (40) on a fly ball to left center field.   Juan Soto scores.","R","R","R","NYY","TOR","X",,"fly_ball",3,1,2024,"-0.78","1.19","-0.19","2.5",,665742,,1,1,"Bot",58.12,36.33,,,661531,,,8.54991881849382,-138.5744565257183,-5.65309643210979,-11.849857049979823,29.545203707398688,-15.672143259727921,"4.04","1.85",477,"117.5",28,"95.8",2184,"6.5",745719,592332,661531,665489,676914,676391,677870,694388,662139,543807,"53.96",0.999,2,"2",1,0,3,6,10,5,"4-Seam Fastball",0,3,0,3,3,2,2,3,"Standard","Standard",219,"0.148","1.456","80.93016","8.68659"
"SL","2024-07-29","86.3","-1.74","5.3","Judge, Aaron",592450,628708,"home_run","hit_into_play",,,,,11,"Aaron Judge homers (39) on a fly ball to left center field.   Juan Soto scores.","R","R","R","PHI","NYY","X",,"fly_ball",1,1,2024,"0.48","0.16","-1.01","2.97",,,665742,1,7,"Top",43.84,44.98,,,592663,,,0.7623463258458503,-125.74293256804981,0.3438222070220378,4.965521263035874,25.073320698126963,-30.772094903457415,"4.07","1.85",430,"105.4",33,"86.8",2566,"6.5",745547,628708,592663,547180,681082,664761,607208,669720,669016,592206,"54.03",0.831,1.649,"2",1,0,3,6,55,3,"Slider",3,7,7,3,9,3,9,3,"Standard","Standard",142,"-0.038","1.705","79.7469","8.02117"
