"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"SI","2024-10-30","94.8","2.67","5.56","Judge, Aaron",592450,607455,,"ball",,,,,14,"Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.","W","R","L","NYY","LAD","B",,,2,1,2024,"1.5","0.63","0.92","2.28",,657077,665742,2,2,"Bot",,,,,669257,,,-7.91861315187897,-137.84233494181606,-4.3165636124679505,20.829454800879066,30.58304067238261,-23.30599975299853,"4.01","1.83",,,,"94.7",2058,"6.3",775296,607455,669257,518692,666158,571970,669242,606192,571771,605141,"54.23",,,,,,,,18,4,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",130,"0","0.104",,
"SI","2024-10-30","98.6","-1.51","6.38","Judge, Aaron",592450,660813,,"foul",,,,,6,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","S",,,3,2,2024,"-1.45","0.72","0.39","2.55",,,665742,0,6,"Bot",,,,,669257,,,8.477799946914033,-143.15970228789033,-6.535888020715797,-21.97307797863137,34.887637153512536,-20.89217756226317,"4.01","1.84",301,"96.4",43,"97.5",2028,"5.9",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.6",,,,,,,,57,6,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",220,"0","0","77.01254","7.6867"
"SL","2024-10-30","85.7","2.83","5.43","Judge, Aaron",592450,607455,,"ball",,,,,14,"Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.","W","R","L","NYY","LAD","B",,,1,1,2024,"-0.81","-0.7","1.3","2.91",,657077,665742,2,2,"Bot",,,,,669257,,,-1.974933314660544,-124.6316043574884,1.8395141857715858,-7.862153570382823,28.682489005024014,-40.10808785686059,"4.04","1.86",,,,"85.2",2465,"6.3",775296,607455,669257,518692,666158,571970,669242,606192,571771,605141,"54.18",,,,,,,,18,3,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",298,"0","0.067",,
"FF","2024-10-30","97.3","-2.28","5.77","Judge, Aaron",592450,656629,"field_out","hit_into_play",,,,,1,"Aaron Judge flies out sharply to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","X",7,"fly_ball",1,0,2024,"-0.94","1.63","-0.57","3.6",,657077,665742,1,4,"Bot",55.43,79.24,,,669257,,,6.8210648787813675,-141.37350520245133,-4.006595530276336,-14.195339492993554,36.92519395433866,-9.684480418582254,"4.01","1.84",342,"100.9",44,"97.7",2555,"6.9",775296,656629,669257,518692,666158,571970,669242,606192,571771,605141,"53.55",0.077,0.14,"0",1,0,0,3,35,2,"4-Seam Fastball",5,0,5,0,0,5,5,0,"Standard","Standard",218,"-0.007","-0.522","76.57719","7.85334"
"SL","2024-10-30","85.9","2.7","5.6","Judge, Aaron",592450,607455,,"called_strike",,,,,3,"Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.","W","R","L","NYY","LAD","S",,,1,0,2024,"-0.74","-0.5","0.56","3.68",,657077,665742,2,2,"Bot",,,,,669257,,,-3.5359294744976926,-124.79932787370738,2.8430327680886363,-6.7154725941693885,30.642251813163654,-38.25070771153429,"4.01","1.84",,,,"84.5",2520,"6",775296,607455,669257,518692,666158,571970,669242,606192,571771,605141,"54.5",,,,,,,,18,2,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",312,"0","-0.066",,
"SL","2024-10-30","91.2","-1.72","6.3","Judge, Aaron",592450,660813,,"blocked_ball",,,,,14,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","B",,,2,2,2024,"0.2","0.26","1.81","0.73",,,665742,0,6,"Bot",,,,,669257,,,8.319410292877988,-132.42316537388194,-8.539188046322833,0.6116637855336976,27.8458768319601,-27.434533363397936,"3.94","1.81",,,,"89.9",2389,"5.6",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.91",,,,,,,,57,5,"Slider",5,5,5,5,5,5,5,5,"Standard","Standard",184,"0","0.176",,
"FF","2024-10-30","93.7","-2.23","5.59","Judge, Aaron",592450,656427,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (3) on a fly ball to right center field.    Juan Soto scores.","W","R","R","NYY","LAD","X",,"fly_ball",0,0,2024,"-0.44","1.42","-0.03","2.9",,,665742,1,1,"Bot",193.54,50.49,,,669257,,,6.719066973713698,-136.26047420846143,-4.350147926931305,-7.047926124954084,31.483466878016134,-13.770219809802231,"4.01","1.84",403,"108.9",28,"94.2",2228,"6.7",775296,656427,669257,518692,666158,571970,669242,606192,571771,605141,"53.78",0.994,2.016,"2",1,0,3,6,6,1,"4-Seam Fastball",0,0,0,0,0,2,2,0,"Standard","Standard",210,"0.174","1.692","75.91654","7.60835"
"FC","2024-10-30","91.4","-2.54","5.61","Judge, Aaron",592450,656629,,"blocked_ball",,,,,14,"Aaron Judge flies out sharply to left fielder Teoscar Hernández.","W","R","R","NYY","LAD","B",,,0,0,2024,"0.08","0.23","0.34","-0.07",,657077,665742,1,4,"Bot",,,,,669257,,,7.153670836584964,-132.70212693414703,-8.974212150027594,-0.5979992018612678,29.059609768492447,-27.705057012572766,"3.99","1.83",,,,"92.3",2517,"7",775296,656629,669257,518692,666158,571970,669242,606192,571771,605141,"53.51",,,,,,,,35,1,"Cutter",5,0,5,0,0,5,5,0,"Standard","Standard",173,"0","0.058",,
"SI","2024-10-30","98","-1.62","6.45","Judge, Aaron",592450,660813,,"ball",,,,,9,"Aaron Judge walks.   Juan Soto to 2nd.","W","R","R","NYY","LAD","B",,,1,2,2024,"-1.45","0.61","0.49","1.87",,,665742,0,6,"Bot",,,,,669257,,,8.925173666362607,-142.28867452441384,-8.191369264738931,-21.690297093439185,32.56253331333896,-22.197221783316905,"3.94","1.91",,,,"97.1",1960,"5.9",775296,660813,669257,518692,666158,571970,669242,606192,571771,605141,"54.63",,,,,,,,57,4,"Sinker",5,5,5,5,5,5,5,5,"Standard","Standard",221,"0","0.067",,
"SL","2024-10-30","85.9","2.88","5.49","Judge, Aaron",592450,607455,,"ball",,,,,13,"Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.","W","R","L","NYY","LAD","B",,,0,0,2024,"-0.39","-0.44","-0.6","1.27",,657077,665742,2,2,"Bot",,,,,669257,,,-7.453943758714694,-124.7342199156544,-2.7095997996115564,-2.189908946189356,29.782333498324885,-36.288204302459306,"4.06","1.91",,,,"85.2",2387,"6.4",775296,607455,669257,518692,666158,571970,669242,606192,571771,605141,"54.12",,,,,,,,18,1,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",336,"0","0.042",,
